,title,authors,genre,published_year,average_rating
1519,Something Blue,Emily Giffin,Fiction,2006.0,3.93
1520,All Things Bright and Beautiful,James Herriot,Biography & Autobiography,2004.0,4.31
1521,Inside the Mind of Gideon Rayburn,Sarah Miller,Juvenile Fiction,2006.0,3.39
1522,Spider Mountain,P. T. Deutermann,Fiction,2006.0,3.91
1523,Where the Mountain Casts Its Shadow,Maria Coffey,Biography & Autobiography,2005.0,3.89
1524,Sideways,Rex Pickett,Fiction,2004.0,3.69
1525,Baby Proof,Emily Giffin,Fiction,2006.0,3.71
1526,Lean Mean Thirteen,Janet Evanovich,Fiction,2007.0,4.09
1527,The Last Wife of Henry VIII,Carolly Erickson,Fiction,2006.0,3.88
1528,The Forsaken,L. A. Banks,Fiction,2006.0,4.35
1529,A Woman of Substance,Barbara Taylor Bradford,Fiction,2005.0,4.17
1530,The Red Tent,Anita Diamant,Fiction,2005.0,4.17
1531,Dirty Little Secrets,Joy King,Fiction,2006.0,4.16
1532,Think Like a Guy,Giuliana Depandi,Family & Relationships,2006.0,3.15
1533,The Ravenscar Dynasty,Barbara Taylor Bradford,Fiction,2006.0,3.61
1534,The Devil in the Junior League,Linda Francis Lee,Fiction,2006.0,3.62
1535,The Silver Pigs,Lindsey Davis,Fiction,2006.0,3.94
1536,The Mystery Method,Mystery;Chris Odom,Family & Relationships,2007.0,3.71
1537,Marked,P. C. Cast;Kristin Cast,Juvenile Fiction,2007.0,3.8
1538,Let's Go Australia 9th Edition,Let's Go Inc,Travel,2006.0,3.92
1539,"The Paris Review Interviews, I",The Paris Review,Biography & Autobiography,2006.0,4.38
1540,More Plums in One,Janet Evanovich,Fiction,2007.0,4.44
1541,James Herriot's Dog Stories,James Herriot,Pets,2006.0,4.4
1542,Beatrix Potter,Linda Lear,Biography & Autobiography,2007.0,4.03
1543,The Twenty-Seventh City,Jonathan Franzen,Fiction,2001.0,3.12
1544,"Haussmann, Or the Distinction",Paul LaFarge,Fiction,2002.0,3.64
1545,The Journey to the East,Hermann Hesse,Fiction,2003.0,3.7
1546,This Side of Brightness,Colum McCann,Fiction,2003.0,3.85
1547,What Was She Thinking?,Zoë Heller,Fiction,2004.0,3.71
1548,Middlesex,Jeffrey Eugenides,Fiction,2003.0,3.99
1549,The Interpreter,Suki Kim,Fiction,2003.0,3.55
1550,Hand to Mouth,Paul Auster,Biography & Autobiography,2003.0,3.62
1551,A Feather on the Breath of God,Sigrid Nunez,Fiction,2005.0,3.87
1552,Galatea 2.2,Richard Powers,Fiction,2004.0,3.72
1553,Mason & Dixon,Thomas Pynchon,Fiction,2004.0,4.06
1554,The River at the Center of the World,Simon Winchester,Travel,2004.0,3.92
1555,Primo Levi,Ian Thomson,Biography & Autobiography,2004.0,4.14
1556,Dry,Augusten Burroughs,Biography & Autobiography,2004.0,4.02
1557,A Home at the End of the World,Michael Cunningham,Fiction,2004.0,3.9
1558,Call It Sleep,Henry Roth,Fiction,2005.0,3.83
1559,I Am Charlotte Simmons,Tom Wolfe,Fiction,2005.0,3.41
1560,Small Island,Andrea Levy,Fiction,2004.0,3.93
1561,Collected Prose,Paul Auster,Literary Collections,2005.0,4.04
1562,Saints at the River,Ron Rash,Fiction,2005.0,3.8
1563,Chemistry and Other Stories,Ron Rash,Fiction,2007.0,4.19
1564,Vita,Melania G. Mazzucco,Fiction,2006.0,3.74
1565,Night Draws Near,Anthony Shadid,History,2006.0,4.11
1566,A Woman in Berlin,Anonymous,Biography & Autobiography,2006.0,4.32
1567,The Brooklyn Follies,Paul Auster,Fiction,2006.0,3.83
1568,Limitations,Scott Turow,Fiction,2006.0,3.33
1569,The Price of the Ticket,James Baldwin,Literary Criticism,1985.0,4.7
1570,The Humanoids,Jack Williamson,Fiction,1996.0,3.75
1571,"The Demon Princes, Vol. 1",Jack Vance,Fiction,1997.0,4.25
1572,The Memory of Whiteness,Kim Stanley Robinson,Fiction,1996.0,3.56
1573,Xenocide,Orson Scott Card,Fiction,1996.0,3.79
1574,The Dark Descent,Clive Barker;Ray Bradbury,Fiction,1997.0,4.26
1575,Ports of Call,Jack Vance,Fiction,1999.0,3.53
1576,"The Demon Princes, Vol. 2",Jack Vance,Fiction,1997.0,4.3
1577,Jack of Kinrowan,Charles de Lint,Fiction,1999.0,4.11
1578,Lurulu,Jack Vance,Fiction,2007.0,3.58
1579,The Land of Laughs,Jonathan Carroll,Fiction,2001.0,3.9
1580,Tales of the Dying Earth,Jack Vance,Fiction,2000.0,4.14
1581,The Fantasies of Robert A. Heinlein,Robert A. Heinlein,Fiction,2002.0,3.9
1582,Songmaster,Orson Scott Card,Fiction,2002.0,3.73
1583,Lovelock,Orson Scott Card;Kathryn H. Kidd,Fiction,2001.0,3.46
1584,Duel,Richard Matheson,Fiction,2003.0,4.05
1585,The Collected Stories of Arthur C. Clarke,Arthur C. Clarke,Fiction,2002.0,4.3
1586,Sword & Citadel,Gene Wolfe,Fiction,1994.0,4.31
1587,The Starry Rift,James Tiptree,Fiction,1994.0,3.82
1588,Pacific Edge,Kim Stanley Robinson,Fiction,1995.0,3.78
1589,Devil's Backbone,Terry C. Johnston,Fiction,1991.0,4.17
1590,The Circle,David Poyer,Fiction,1993.0,4.08
1591,Faking It,Jennifer Crusie,Fiction,2004.0,3.92
1592,Welcome to Temptation,Jennifer Crusie,Fiction,2004.0,3.95
1593,Full Bloom,Janet Evanovich;Charlotte Hughes,Fiction,2005.0,3.81
1594,Full Scoop,Janet Evanovich;Charlotte Hughes,Fiction,2006.0,3.79
1595,The Damned,L. A. Banks,Fiction,2007.0,4.28
1596,The Cursed One,Ronda Thompson,Fiction,2006.0,4.02
1597,A Quiver Full of Arrows,Jeffrey Archer,Fiction,2005.0,3.78
1598,The Hunted,L. A. Banks,Fiction,2005.0,4.14
1599,The Forbidden,L. A. Banks,Fiction,2006.0,4.27
1600,When the Lion Feeds,Wilbur Smith,Fiction,2006.0,4.18
1601,A Sparrow Falls,Wilbur Smith,Fiction,2007.0,4.17
1602,The Unfortunate Miss Fortunes,Jennifer Crusie;Eileen Dreyer;Anne Stuart,Fiction,2007.0,3.47
1603,Hot Stuff,Janet Evanovich;Leanne Banks,Fiction,2007.0,3.74
1604,Two for the Dough,Janet Evanovich,Fiction,2007.0,4.11
1605,The Edge of Honor,P. T. Deutermann,Fiction,1995.0,3.96
1606,Wings of Fire,Charles Todd,Fiction,1999.0,3.99
1607,All Creatures Great and Small,James Herriot,Biography & Autobiography,1998.0,4.32
1608,The Lord God Made Them All,James Herriot,Biography & Autobiography,1998.0,4.41
1609,Four to Score,Janet Evanovich,Fiction,1999.0,4.17
1610,"Thrones, Dominations",Dorothy L. Sayers;Jill Paton Walsh,Fiction,1999.0,3.88
1611,Black Coffee,Agatha Christie,Fiction,1999.0,3.48
1612,El Paso,Matt Braun,Fiction,1999.0,3.4
1613,Search the Dark,Charles Todd,Fiction,2000.0,4.0
1614,Cuba,Stephen Coonts,Fiction,2000.0,3.81
1615,What the Corpse Revealed,Hugh Miller,True Crime,2000.0,3.79
1616,Name Dropping,Rachael F. Heller,Fiction,2001.0,3.53
1617,Seven Up,Janet Evanovich,Fiction,2002.0,4.16
1618,Hardcase,Dan Simmons,Fiction,2002.0,3.69
1619,Warlock,Wilbur Smith,Fiction,2002.0,4.04
1620,Crooked House,Agatha Christie,Fiction,2002.0,4.02
1621,Abandoned Prayers,Gregg Olsen,True Crime,2003.0,3.78
1622,The Sigma Protocol,Robert Ludlum,Fiction,2002.0,3.79
1623,True Believers,Jane Haddam,Fiction,2002.0,3.88
1624,Full Blast,Janet Evanovich;Charlotte Hughes,Fiction,2004.0,3.82
1625,Hard Eight,Janet Evanovich,Fiction,2003.0,4.17
1626,Eleven on Top,Janet Evanovich,Fiction,2006.0,4.16
1627,Minion,L. A. Banks,Fiction,2004.0,3.44
1628,The Janson Directive,Robert Ludlum,Fiction,2003.0,3.86
1629,The Tristan Betrayal,Robert Ludlum,Fiction,2004.0,3.83
1630,The Ambler Warning,Robert Ludlum,Fiction,2006.0,3.72
1631,Robert Ludlum's The Moscow Vector,Robert Ludlum;Patrick Larkin,Fiction,2006.0,3.98
1632,The Firefly,P. T. Deutermann,Fiction,2004.0,3.76
1633,As the Crow Flies,Jeffrey Archer,Fiction,2004.0,4.08
1634,Dakota,Matt Braun,Fiction,2005.0,3.69
1635,The Fantastic Vampire,James Craig Holte,Literary Criticism,2002.0,0.0
1636,From Hinton to Hamlet,Sarah K. Herz;Donald R. Gallo,Literary Criticism,2005.0,4.01
1637,SantaKid,James Patterson,Juvenile Fiction,2004.0,3.89
1638,Trials of Death,Darren Shan,Juvenile Fiction,2005.0,4.25
1639,Oblivion,David Foster Wallace,Fiction,2005.0,4.07
1640,Julie and Julia,Julie Powell,Biography & Autobiography,2006.0,3.7
1641,The Truth of the Matter,Robb Forman Dew,Fiction,2006.0,3.06
1642,The Beatles,Bob Spitz,Biography & Autobiography,2006.0,4.15
1643,Twilight,Stephenie Meyer,Young Adult Fiction,2006.0,3.59
1644,Cirque Du Freak #10: The Lake of Souls,Darren Shan,Young Adult Fiction,2006.0,4.19
1645,The Terror,Dan Simmons,Fiction,2007.0,4.05
1646,Hollywood Station,Joseph Wambaugh,Fiction,2006.0,3.72
1647,The Harry Bosch Novels,Michael Connelly,Fiction,2001.0,4.34
1648,Consider the Lobster,David Foster Wallace,Literary Criticism & Collections,2005.0,4.25
1649,The Bookseller of Kabul,Asne Seierstad,Biography & Autobiography,2004.0,3.77
1650,Yiddish with Dick and Jane,Ellis Weiner;Barbara Davilman,Humor,2004.0,3.91
1651,The Lovely Bones,Alice Sebold,Fiction,2004.0,3.79
1652,Blink,Malcolm Gladwell,Business & Economics,2005.0,3.92
1653,Paint it Black,Janet Fitch,Fiction,2006.0,3.48
1654,"The World Treasury of Physics, Astronomy, and Mathematics",Timothy Ferris;Clifton Fadiman,Education,1993.0,4.12
1655,White Oleander,Janet Fitch,Fiction,2000.0,3.95
1656,Midnight Riders,Scott Freeman,Music,1996.0,3.98
1657,The Magus,John Fowles,Fiction,2001.0,4.05
1658,Mythology,Edith Hamilton,Social Science,1998.0,3.99
1659,"Last Lion, The: Volume 1",William Manchester,Biography & Autobiography,1983.0,4.43
1660,Candy,Mian Mian,Fiction,2003.0,3.31
1661,The Black Veil,Rick Moody,Family & Relationships,2002.0,3.06
1662,"Harry Bosch Novels, The: Volume 2",Michael Connelly,Fiction,2003.0,4.48
1663,Miracle on the 17th Green,James Patterson;Peter De Jonge,Fiction,1996.0,3.66
1664,The Ice Storm,Rick Moody,Fiction,2002.0,3.67
1665,Gossip Girl #6: You're the One That I Want,Cecily von Ziegesar,Juvenile Fiction,2004.0,3.71
1666,The Catcher in the Rye,J.D. Salinger,Fiction,1991.0,3.8
1667,Mind Over Money,John W. Schott;Jean S. Arbeiter,Business & Economics,1998.0,2.67
1668,Strangers from a Different Shore,Ronald Takaki,History,1998.0,4.12
1669,Stephen King Omnibus,Stephen King,New England,1999.0,4.29
1670,Vampire Mountain,Darren Shan,Juvenile Fiction,2004.0,4.17
1671,An Unfinished Life,Robert Dallek,Biography & Autobiography,2004.0,4.07
1672,Gossip Girl #1,Cecily von Ziegesar,Young Adult Fiction,2002.0,3.51
1673,Gossip Girl #3: All I Want is Everything,Cecily von Ziegesar,Young Adult Fiction,2003.0,3.55
1674,A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,Humor,1997.0,4.27
1675,Brideshead Revisited,Evelyn Waugh,Fiction,1982.0,4.0
1676,The Complete Stories of Evelyn Waugh,Evelyn Waugh,Fiction,2000.0,4.0
1677,Don't Stop the Carnival,Herman Wouk,Fiction,1992.0,3.93
1678,Youngblood Hawke,Herman Wouk,Fiction,1992.0,4.02
1679,American Government,Karen O'Connor;Larry Sabato,Political Science,2005.0,2.95
1680,Essentials of American Government,Karen O'Connor;Larry J. Sabato,Political Science,2005.0,3.5
1681,The Non-designer's Web Book,Robin Williams;John Tollett,Computers,2006.0,3.65
1682,Don't Make Me Think!,Steve Krug,Computers,2006.0,4.24
1683,"Mary Wollstonecraft Shelley's Frankenstein, or, The modern Prometheus",Mary Wollstonecraft Shelley;Susan J. Wolfson,Fiction,2007.0,3.78
1684,Oscar Wilde's The Picture of Dorian Gray,Oscar Wilde;Andrew Elfenbein,Fiction,2007.0,4.07
1685,Andrew Carnegie and the Rise of Big Business,Harold C. Livesay,Biography & Autobiography,2007.0,3.27
1686,The Power of One,Louis E. Catron,Performing Arts,2000.0,3.79
1687,The Little Prince,Antoine de Saint-Exupéry;Katherine Woods,"Children's literature, French",1974.0,4.3
1688,The Thirteenth Tribe,Arthur Koestler,Jews,1977.0,3.91
1689,Invisible Cities,Italo Calvino,,1979.0,4.16
1690,Running in the Family,Michael Ondaatje,"Authors, Canadian",1984.0,3.84
1691,The Circus of Adventure,Enid Blyton,Juvenile Fiction,1988.0,4.1
1692,The Island of Adventure,Enid Blyton,Abandoned mines,1988.0,4.06
1693,The African Trilogy,Chinua Achebe,English fiction,1988.0,4.28
1694,A Gift of Wings,Richard Bach,Air pilots,1989.0,3.79
1695,The Orchard Keeper,Cormac McCarthy,Community life,1994.0,3.55
1696,The Real Frank Zappa Book,Frank Zappa;Peter Occhiogrosso,Rock musicians,1990.0,4.14
1697,A Dangerous Fortune,Ken Follett,"Banks and banking, British",1994.0,4.03
1698,The Border Trilogy,Cormac McCarthy,Fiction,2002.0,4.43
1699,Misreadings,Umberto Eco,Literary Criticism,1994.0,3.86
1700,Vurt,Jeff Noon,Brothers and sisters,1994.0,4.06
1701,In Pharaoh's Army,Tobias Wolff,"Authors, American",1995.0,4.08
1702,The Reality Dysfunction,Peter F. Hamilton,English fiction,1997.0,4.14
1703,Paper Money,Ken Follett,Conspiracies,1996.0,3.31
1704,An Unquiet Mind,Kay Redfield Jamison,Biography & Autobiography,1997.0,4.05
1705,The Golden Key,Melanie Rawn;Jennifer Roberson;Kate Elliott,Families,1997.0,3.81
1706,Into the Wild,Jon Krakauer,True Crime,1998.0,3.97
1707,A Second Chance at Eden,Peter F. Hamilton,Science fiction,1999.0,4.02
1708,The Memoirs of Cleopatra,Margaret George,Egypt,1998.0,4.18
1709,Just Disgusting!,Andy Griffiths,Australian fiction,2002.0,3.81
1710,Bridget Jones,Helen Fielding,Diary fiction,1999.0,3.56
1711,Rumer Godden,Anne Chisholm,British,1999.0,3.83
1712,Four to Score,Janet Evanovich,Bail bond agents,1999.0,4.17
1713,High Five,Janet Evanovich,Bail bond agents,2000.0,4.18
1714,Hot Six,Janet Evanovich,Bail bond agents,2001.0,4.19
1715,The Sign of the Cross,Colm Tóibín,Catholics,2001.0,3.8
1716,Them,Jon Ronson,Political leadership,2002.0,3.95
1717,Just as Long as We're Together,Judy Blume,Families,2006.0,4.07
1718,Hour Game,David Baldacci,Fiction,2005.0,3.97
1719,Bosnia,Noel Malcolm,Bosnia and Hercegovina,2002.0,4.06
1720,Every Boy's Got One,Meg Cabot,Americans,2005.0,3.77
1721,Under the Banner of Heaven,Jon Krakauer,Mormon fundamentalism,2004.0,3.99
1722,Downsize This!,Michael Moore,American Wit And Humour,2002.0,3.62
1723,Marching Powder,Rusty Young,Cocaine industry,2004.0,4.25
1724,Absolute Power,David Baldacci,Murder,2003.0,4.16
1725,Chasing the Monsoon,Alexander Frater,India,2005.0,3.96
1726,Indecision,Benjamin Kunkel,Fiction,2006.0,2.86
1727,Blackout,John J. Nance,Bombings,2000.0,3.93
1728,American Psycho,Bret Easton Ellis,American fiction,2000.0,3.82
1729,The Mimic Men,V. S. Naipaul,British,2002.0,3.39
1730,A Bend in the River,V. S. Naipaul,Fiction,2002.0,3.77
1731,The Enigma of Arrival,V. S. Naipaul,England,2002.0,3.69
1732,A House for Mr Biswas,Vidiadhar Surajprasad Naipaul,Autonomy (Psychology).,1961.0,3.82
1733,The Hunters,Claire Messud,American fiction,2003.0,3.4
1734,Dirt Music,Tim Winton,Fiction,2008.0,3.86
1735,The Hitchhiker's Guide to the Galaxy,Douglas Adams,"Dent, Arthur (Fictitious character)",2002.0,4.22
1736,Ragtime,E. L. Doctorow,Fiction,1975.0,3.88
1737,City on the Seine,Andrew P. Trout,Paris (France),1996.0,4.17
1738,Fire on the Mountain (Hb),Adam Hochschild,Antislavery movements,2005.0,4.27
1739,"The Poet, the Warrior, the Prophet",Rubem A. Alves,Religion,2002.0,4.43
1740,From Russia with Love,Ian Fleming,Adventure stories,1957.0,3.89
1741,Casino Royale,Ian Fleming,"Bond, James (Fictitious character)",1988.0,3.73
1742,The Walls of Spyte,Dave Morris;Oliver Johnson;Jamie Thomson;Russ Nicholson;Geoff Wingate,,1988.0,4.33
1743,How the Irish Saved Civilization,Thomas Cahill,Books,1995.0,3.81
1744,Escape,James Clavell,Fiction,1996.0,3.62
1745,Flatmates,Chris Manby,Apartments,1997.0,3.53
1746,Crucifix Lane,Kate Mosse,London (England),1998.0,3.4
1747,Shōgun,James Clavell,British,1975.0,4.38
1748,Whirlwind,James Clavell,Fiction,1999.0,3.81
1749,Running Away from Richard,Chris Manby,Actresses,2001.0,3.47
1750,"The Road to War, 1933-1939",Andrew Hunt,Germany,2000.0,0.0
1751,Five on a Treasure Island,Enid Blyton,Adventure stories,2001.0,4.08
1752,Five Go Adventuring Again,Enid Blyton,Children's stories,2001.0,4.01
1753,Five Go to Smuggler's Top,Enid Blyton,Children's stories,2001.0,4.05
1754,Five Get Into a Fix,Enid Blyton,"Adventure stories, English",2001.0,3.93
1755,Five Have a Mystery to Solve,Enid Blyton,Children's stories,2001.0,3.9
1756,On Writing,Stephen King,"Authors, American",2001.0,4.33
1757,Girl Meets Ape,Chris Manby,Animal sanctuaries,2004.0,3.44
1758,The Waste Lands,Stephen King,Adventure fiction,2003.0,4.24
1759,The Art of Happiness at Work,Dalai Lama XIV Bstan-ʼdzin-rgya-mtsho;Howard C. Cutler,Buddhism,2003.0,4.16
1760,Stranger in a Strange Land,Robert A. Heinlein,Science fiction,2005.0,3.92
1761,The Pact,Jodi Picoult,Bereavement,2005.0,4.01
1762,Interstellar Pig,William Sleator,Human-alien encounters,2001.0,3.88
1763,Nightingale's Song,Kate Pennington,Juvenile Fiction,2006.0,3.0
1764,The Secret Seven,Enid Blyton,Adventure fiction,2006.0,3.86
1765,A Fish Dinner in Memison,Eric Rucker Eddison,,1970.0,3.87
1766,Tales of the Cthulhu Mythos,Howard Phillips Lovecraft,Horror tales,1975.0,4.2
1767,Visions from Nowhere,William Arrow,Science fiction,1976.0,3.23
1768,The best of Philip K. Dick,Philip K. Dick,Fiction,1977.0,4.22
1769,"Sir Gawain and the Green Knight, Pearl, and Sir Orfeo",,Fiction,1980.0,3.97
1770,The Centurions,Damion Hunter,Fiction,1981.0,4.14
1771,Story of O,Pauline Réage,Fiction,1973.0,3.33
1772,The Crucible of Time,John Brunner,Fiction,1984.0,3.71
1773,On a pale horse,Piers Anthony,Fiction,1984.0,4.13
1774,"Job, a Comedy of Justice",Robert Anson Heinlein,Fiction,1985.0,3.78
1775,Bridge of Birds,"Barry Hughart;E. E. ""Doc"" Smith;Joel Rosenbreg;Kathryn Lance;Lin Carter",,1985.0,4.29
1776,With Friends Like These,Alan Dean Foster,Fiction,1984.0,3.94
1777,The Doom that Came to Sarnath,Howard Phillips Lovecraft,Fiction,1971.0,4.12
1778,Mission to Moulokin,Alan Dean Foster,Fiction,1985.0,3.86
1779,The Fellowship of the Ring,John Ronald Reuel Tolkien,Fiction,,
1780,The Fellowship of the Ring,John Ronald Reuel Tolkien,Fantasy fiction,2012.0,4.52
1781,The Belgariad Boxed Set,David Eddings,Fiction,1986.0,4.27
1782,The Tolkien Reader,J. R. R. Tolkien,Fiction,1986.0,3.99
1783,The Dragons of Eden,Carl Sagan,Nature,1977.0,4.17
1784,The Best of H.P. Lovecraft,H. P. Lovecraft,Fiction,1982.0,4.31
1785,The Adversary,Julian May,Science,1987.0,4.22
1786,Five Patients,Michael Crichton,Social Science,1989.0,3.48
1787,Douglas Adams's Starship Titanic,Terry Jones,Fiction,1998.0,3.6
1788,Anne Rice's the Vampire Lestat,Faye Perozich;Anne Rice;Daerick Gross,Humor,1991.0,4.19
1789,The Book of Lost Tales,John Ronald Reuel Tolkien,Fiction,1992.0,3.83
1790,Long Distance Life,Marita Golden,African American families,1992.0,3.84
1791,The Proud Highway,Hunter S. Thompson,Biography & Autobiography,1998.0,4.14
1792,The Transition of H.P. Lovecraft,Howard Phillips Lovecraft,Fiction,1996.0,4.3
1793,A history of God,Karen Armstrong,God (Christianity),1993.0,3.87
1794,The Battle for God,Karen Armstrong,Religion,2001.0,3.93
1795,Better Than Sex,Hunter S. Thompson,Language Arts & Disciplines,1994.0,3.76
1796,First King of Shannara,Terry Brooks,Fiction,1997.0,3.96
1797,Ilse Witch,Terry Brooks,Fiction,2001.0,3.96
1798,Waterborn,J. Gregory Keyes,Fiction,1997.0,3.8
1799,Cry to Heaven,Anne Rice,Fiction,1995.0,3.84
1800,The Vampire Companion,Katherine M. Ramsland;Anne Rice,Fiction,1995.0,3.93
1801,Starshield Sentinels,Margaret Weis;Tracy Hickman,Fiction,1996.0,3.51
1802,The Mantle of Kendis-Dai,Margaret Weis;Tracy Hickman,Fiction,1997.0,3.61
1803,The Children of Henry VIII,Alison Weir,Biography & Autobiography,1997.0,4.04
1804,The demon-haunted world,Carl Sagan,"Body, Mind & Spirit",1996.0,4.27
1805,Twister,Michael Crichton;Anne-Marie Martin,Motion picture plays,1996.0,3.63
1806,Does Anybody Have a Problem with That?,Bill Maher,Humor,1997.0,3.49
1807,Friday,Robert Anson Heinlein,Fiction,1997.0,3.83
1808,The 158-Pound Marriage,John Irving,Fiction,1997.0,3.24
1809,The Princess Bride,William Goldman,Fiction,2003.0,4.26
1810,Reunion,Alan Dean Foster,Fiction,2001.0,3.87
1811,Mostly Harmless,Douglas Adams,Fiction,2000.0,3.97
1812,"Life, the Universe and Everything",Douglas Adams,Fiction,1982.0,4.2
1813,The Eight,Katherine Neville,Fiction,1997.0,3.92
1814,The Queen of the Damned,Anne Rice,Fiction,1997.0,3.88
1815,The Tale of the Body Thief,Anne Rice,Fiction,1997.0,3.72
1816,While I Was Gone,Sue Miller,Fiction,2002.0,3.68
1817,Tales of the Cthulhu Mythos,H. P. Lovecraft,Fiction,1998.0,4.2
1818,Merrick,Anne Rice,FICTION,2001.0,3.72
1819,The Straight Dope,Cecil Adams;Ed Zotti,Humor,1998.0,4.19
1820,Candy,Luke Davies,Fiction,1998.0,4.08
1821,Nightsword,Margaret Weis;Tracy Hickman,Fiction,1999.0,3.66
1822,The Virtues of Aging,Jimmy Carter,Biography & Autobiography,1998.0,3.51
1823,Trust Fund,Stephen Frey,Fiction,2002.0,3.72
1824,"Star Wars, Episode I",George Lucas,Fiction,1999.0,3.92
1825,The King of Elfland's Daughter,Edward John Moreton Drax Plunkett Baron Dunsany,Fiction,1999.0,3.84
1826,Omerta,Mario Puzo,Fiction,2001.0,3.7
1827,The Genome War,James Shreeve,Science,2005.0,3.81
1828,The Analects of Confucius,Confucius;Roger T. Ames;Henry Rosemont,Fiction,1999.0,3.84
1829,The Real James Herriot,James Wight;Jim Wight,Biography & Autobiography,2001.0,4.2
1830,Angel Fire East,Terry Brooks,Fiction,2000.0,4.1
1831,Morgawr,Terry Brooks,Fiction,2003.0,3.97
1832,Tanequil,Terry Brooks,Fiction,2005.0,3.98
1833,The Dress Lodger,Sheri Holman,Fiction,2001.0,3.57
1834,Henry VIII,Alison Weir,Biography & Autobiography,2002.0,4.17
1835,The Case of the Curious Bride,Erle Stanley Gardner,Fiction,2000.0,3.86
1836,The Courtesan,Susan Carroll,Fiction,2005.0,3.9
1837,The Collapse of the Common Good,Philip K. Howard,Political Science,2002.0,3.92
1838,Drowning Ruth,Christina Schwarz,Fiction,2001.0,3.74
1839,The Best of Lester Del Rey,Lester Del Rey,Fiction,2000.0,3.8
1840,I Am the One that I Want,Margaret Cho,Humor,2002.0,3.69
1841,Schmidt Delivered,Louis Begley,Fiction,2001.0,3.59
1842,Black House,Stephen King;Peter Straub,Fiction,2001.0,4.0
1843,My Movie Business,John Irving,Biography & Autobiography,2000.0,3.33
1844,The Dark Arena,Mario Puzo,Fiction,2001.0,3.35
1845,The Sicilian,Mario Puzo,Fiction,2001.0,3.96
1846,Time to Be in Earnest,P. D. James,Biography & Autobiography,2001.0,3.94
1847,The Silent Gondoliers,William Goldman,Fiction,2001.0,3.8
1848,Welcome to the Great Mysterious,Lorna Landvik,Fiction,2002.0,3.77
1849,While I was Gone,Sue Miller,Fiction,2000.0,3.68
1850,A Stroke of Midnight,Laurell K. Hamilton,Fiction,2006.0,4.07
1851,The Talisman,Stephen King;Peter Straub,Fiction,2001.0,4.13
1852,Lights Out,Peter Abrahams,Fiction,2002.0,3.66
1853,Edge of Victory II,Greg Keyes,Fiction,2001.0,3.77
1854,Death in Holy Orders,P. D. James,Fiction,2002.0,3.92
1855,A Chosen Few,Mark Kurlansky,History,2002.0,3.87
1856,Boogaloo on 2nd Avenue,Mark Kurlansky,Fiction,2005.0,3.15
1857,Star Wars,Daniel Wallace,Fiction,2002.0,3.96
1858,Star Wars,W. Haden Blackman,Performing Arts,2003.0,4.1
1859,Flinx's Folly,Alan Dean Foster,Fiction,2004.0,3.94
1860,Clay's Quilt,Silas House,Fiction,2001.0,3.95
1861,Sunstorm,Arthur Charles Clarke;Stephen Baxter,Fiction,2006.0,3.83
1862,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,Fiction,2002.0,4.38
1863,Shadow Dance,Julie Garwood,Fiction,2007.0,4.0
1864,1968,Mark Kurlansky,History,2005.0,3.78
1865,The Probable Future,Alice Hoffman,Fiction,2004.0,3.83
1866,The Belgariad V.2,David Eddings,Fantasy,2002.0,4.28
1867,The Vampire Chronicles Collection,Anne Rice,Fiction,2002.0,4.27
1868,The Bonesetter's Daughter,Amy Tan,Fiction,2003.0,3.98
1869,Altered Carbon,Richard K. Morgan,Fiction,2006.0,4.06
1870,Market Forces,Richard K. Morgan,Fiction,2005.0,3.59
1871,Tales Before Tolkien,Douglas A. Anderson,Fiction,2005.0,3.94
1872,Body Double,tess girritsen,Fiction,2005.0,4.18
1873,Lost and Found,Alan Dean Foster,Fiction,2005.0,3.68
1874,The Light-Years Beneath My Feet,Alan Dean Foster,Fiction,2006.0,3.73
1875,To The Last Man,Jeff Shaara,Fiction,2005.0,4.22
1876,Sliding Scales,Alan Dean Foster,Fiction,2005.0,3.87
1877,Running from the Deity,Alan Dean Foster,Fiction,2006.0,3.8
1878,Judas Unchained,Peter F. Hamilton,Fiction,2007.0,4.31
1879,The Swarm War,Troy Denning,Fiction,2006.0,3.49
1880,Yoda,Sean Stewart,Fiction,2004.0,3.88
1881,The Fourth Hand,John Irving,Fiction,2003.0,3.31
1882,Bloodcurdling Tales of Horror and the Macabre: The Best of H. P. Lovecraft,H. P. Lovecraft,Fiction,2002.0,
1883,Saving Fish from Drowning,Amy Tan,Fiction,2006.0,3.43
1884,A Parchment of Leaves,Silas House,Fiction,2003.0,4.17
1885,The Heritage of Shannara,Terry Brooks,Fiction,2003.0,4.28
1886,All I Really Need to Know I Learned in Kindergarten,Robert Fulghum,Self-Help,2004.0,4.03
1887,Perfect Nightmare,John Saul,Fiction,2006.0,3.89
1888,The Franklin Affair,Jim Lehrer,Fiction,2006.0,3.12
1889,Oh My Stars,Lorna Landvik,Fiction,2005.0,3.89
1890,The Chronicles of Riddick,Alan Dean Foster,Fiction,2004.0,3.95
1891,The Amateur Marriage,Anne Tyler,Fiction,2006.0,3.61
1892,Star Wars,James Luceno,Fiction,2005.0,3.84
1893,The Guns of August,Barbara Wertheim Tuchman,History,2004.0,4.18
1894,Wish You Were Here,Nick Webb,Biography & Autobiography,2005.0,4.14
