,title,authors,genre,published_year,average_rating
81,The Silmarillion,John Ronald Reuel Tolkien;Ted Nasmith,Fiction,2004.0,3.91
82,I Wish that I Had Duck Feet,Dr. Seuss;Barney Tobey,Children's stories,2004.0,4.16
83,Oh Say Can You Say?,Dr. Seuss,Children's stories,2004.0,4.01
84,There's a Boy in the Girls' Bathroom,Louis Sachar,Boys,2004.0,3.98
85,Microserfs,Douglas Coupland,Computer programmers,2004.0,3.88
86,Miss Wyoming,Douglas Coupland,Actors,2004.0,3.48
87,Where Rainbows End,Cecelia Ahern,Friendship,2004.0,3.94
88,Poirot,Agatha Christie,Authors,2005.0,4.2
89,The Art of The Lord of the Rings,Gary Russell,Costume,2004.0,4.52
90,The Known World,Edward P. Jones,African American plantation owners,2004.0,3.83
91,Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,Conduct of life,2004.0,3.9
92,Naked Lunch,William S. Burroughs,Alienation (Social psychology),2005.0,3.44
93,Tropic of Cancer,Henry Miller,Fiction,2005.0,3.69
94,Close Range,Annie Proulx,Cowboys,2006.0,3.99
95,The Love of the Last Tycoon,F. Scott Fitzgerald,Fiction,1994.0,3.65
96,The Song of Rhiannon,Evangeline Walton,Fiction,1992.0,4.02
97,Heart Songs and Other Stories,Annie Proulx,Fiction,1995.0,3.93
98,The voyage of the Dawn Treader,Clive Staples Lewis,Juvenile Fiction,1970.0,4.09
99,"The Chronicles of Narnia: Lion, the witch and the wardrobe",Clive Staples Lewis,Fairy tales,1978.0,4.26
100,The Short Stories of Ernest Hemingway,Ernest Hemingway,Fiction,1986.0,4.26
101,"The Screwtape Letters ; With, Screwtape Proposes a Toast",Clive Staples Lewis,Christianity,1982.0,4.22
102,Reason in History,Georg Wilhelm Friedrich Hegel,Philosophy,1953.0,3.64
103,The Elements of Style,William Strunk;Elwyn Brooks White,Language Arts & Disciplines,1979.0,4.2
104,The Presocratics,Philip Wheelwright,Philosophy,1966.0,4.04
105,Spandau,Albert Speer,History,1976.0,4.12
106,The Rumble Seat Pony,Clarence William Anderson,"Animals, Treatment of",1971.0,4.17
107,The Journey with Grandmother,Edith Unnerstad,Grandmothers,1960.0,3.75
108,Tyranny of the Majority,Lani Guinier,History,1995.0,3.82
109,The Origins of the Civil Rights Movement,Aldon D. Morris,History,1986.0,4.04
110,Presidential Power and the Modern Presidents,Richard E. Neustadt,History,1991.0,3.79
111,"Rest, Rabbit, Rest",Jacquelyn Reinach;Richard Hefter,Juvenile Fiction,1978.0,4.01
112,Where the Red Fern Grows,Wilson Rawls,Juvenile Fiction,2000.0,4.37
113,Poppy's Return,Avi,Juvenile Fiction,2006.0,3.99
114,Diary of a Spider,Doreen Cronin,Juvenile Fiction,2005.0,4.25
115,An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,Juvenile Fiction,2005.0,3.7
116,The Paradox of Choice,Barry Schwartz,Business & Economics,2005.0,3.84
117,How to Read Literature Like a Professor,Thomas C. Foster,Literary Criticism,2003.0,3.65
118,The Amazing Maurice and His Educated Rodents,Terry Pratchett,Juvenile Fiction,2001.0,4.05
119,The Wee Free Men,Terry Pratchett,Juvenile Fiction,2004.0,4.27
120,Going Postal,Terry Pratchett,Fiction,2004.0,4.38
121,Modern Mind,Peter Watson,Science,2002.0,4.27
122,She Went All the Way,Meg Cabot,Fiction,2002.0,3.69
123,Island,Aldous Huxley,Fiction,1962.0,3.85
124,A Year in the Life of William Shakespeare,James Shapiro,Biography & Autobiography,2006.0,4.09
125,Lucy Sullivan Is Getting Married,Marian Keyes,Fiction,2002.0,3.76
126,The Terminal Man,Michael Crichton,Fiction,2002.0,3.36
127,The Art of the Novel,Milan Kundera,Literary Criticism,2003.0,3.96
128,The Bromeliad Trilogy,Terry Pratchett,Juvenile Fiction,2003.0,4.06
129,"Merry Christmas, Amelia Bedelia",Peggy Parish,Juvenile Fiction,2002.0,4.29
130,Identity,Milan Kundera,Fiction,1998.0,3.68
131,The thief of always,Clive Barker,Fiction,1992.0,4.19
132,The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius,Fiction,1998.0,3.85
133,Mars and Venus Book of Days,John Gray,Family & Relationships,1998.0,3.54
134,The Last of the Really Great Whangdoodles,Julie Andrews Edwards,Juvenile Fiction,1996.0,4.25
135,Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,Juvenile Fiction,1998.0,4.15
136,The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction,1981.0,4.33
137,"Lafcadio, the Lion Who Shot Back",Shel Silverstein,Juvenile Fiction,1963.0,4.15
138,The Secret Garden Cookbook,Amy Cotler,Juvenile Nonfiction,1999.0,4.28
139,Laura's Album,William Anderson,Juvenile Nonfiction,1998.0,4.3
140,Quivers,Robin Quivers,African Americans in radio broadcasting,1995.0,3.51
141,Moonspinners,Mary Stewart,Fiction,2003.0,4.03
142,Small Wonder,Barbara Kingsolver,Literary Collections,2003.0,4.01
143,Worlds Enough & Time,Dan Simmons,Fiction,2002.0,3.75
144,The Cheese Monkeys,Chip Kidd,Fiction,2002.0,3.75
145,Travels,Michael Crichton,Biography & Autobiography,2002.0,3.95
146,Caesar,Colleen McCullough,Fiction,2003.0,4.36
147,The Forever War,Joe Haldeman,Fiction,2003.0,4.15
148,Amelia Bedelia Goes Camping,Peggy Parish,Juvenile Fiction,2003.0,4.14
149,The Secret Sister,Elizabeth Lowell,Fiction,2005.0,3.65
150,Amelia Bedelia Helps Out,Peggy Parish,Juvenile Fiction,2005.0,4.25
151,Whirlpool,Elizabeth Lowell,Fiction,2006.0,3.78
152,"Teach Us, Amelia Bedelia",Peggy Parish,Juvenile Fiction,2004.0,4.21
153,Cryptonomicon,Neal Stephenson,Fiction,2002.0,4.25
154,Falling Up,Shel Silverstein,Juvenile Nonfiction,2002.0,4.34
155,Anansi Boys,Neil Gaiman,Fiction,2006.0,4.02
156,Fragile Things,Neil Gaiman,Fiction,2006.0,4.01
157,What Went Wrong?,Bernard Lewis,History,2003.0,3.49
158,Letters from the Earth,Mark Twain,Literary Criticism,2004.0,4.22
159,Savannah Blues,Mary Kay Andrews,Fiction,2003.0,3.98
160,The Whipping Boy,Sid Fleischman,Juvenile Fiction,2003.0,3.56
161,The Innovator's Dilemma,Clayton M. Christensen,Business & Economics,2003.0,3.99
162,A Nose for Murder,Lee Charles Kelley,Fiction,2003.0,3.47
163,Happiness,Will Ferguson,Fiction,2003.0,3.78
164,Size 12 Is Not Fat,Meg Cabot,Fiction,2006.0,3.74
165,Warrior of the Light,Paulo Coelho,Fiction,2004.0,3.7
166,The Devil and Miss Prym,Paulo Coelho,Fiction,2006.0,3.6
167,The Big Bing,Stanley Bing,Business & Economics,2006.0,3.08
168,One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,2003.0,4.06
169,Walt Whitman,Justin Kaplan,Biography & Autobiography,2003.0,3.99
170,How to Make Love Like a Porn Star,Jenna Jameson;Neil Strauss,Biography & Autobiography,2004.0,3.75
171,The Outsider,Richard Wright,Fiction,1953.0,4.16
172,1421,Gavin Menzies,History,2004.0,3.59
173,The Andromeda Strain,Michael Crichton,Fiction,2003.0,3.89
174,Congo,Michael Crichton,Fiction,2003.0,3.58
175,Johnny and the Dead,Terry Pratchett,Juvenile Fiction,2006.0,3.78
176,Amelia Bedelia 40th Anniversary Collection,Peggy Parish,Juvenile Fiction,2003.0,4.41
177,The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,Juvenile Fiction,2005.0,3.96
178,The Bradbury Chronicles,Sam Weller,Biography & Autobiography,2006.0,4.22
179,Three Rotten Eggs,Gregory Maguire,Juvenile Fiction,2005.0,3.74
180,The Wicked Day,Mary Stewart,Fiction,2003.0,4.09
181,The Game,Neil Strauss,Biography & Autobiography,2005.0,3.74
182,"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,Juvenile Fiction,2004.0,4.19
183,Gold,Isaac Asimov,Fiction,2003.0,3.99
184,The Kindness of Strangers,Katrina Kittle,Fiction,2007.0,4.01
185,Built to Last,Jim Collins;Jerry I. Porras,Business & Economics,2004.0,3.98
186,Fluke,Christopher Moore,Fiction,2004.0,3.75
187,Lord of Light,Roger Zelazny,Fiction,2004.0,4.1
188,The Perennial Philosophy,Aldous Huxley,Philosophy,2004.0,4.23
189,A Crack in the Edge of the World,Simon Winchester,History,2006.0,3.78
190,Dead Witch Walking,Kim Harrison,Fiction,2004.0,4.04
191,"The Good, the Bad, and the Undead",Kim Harrison,Fiction,2005.0,4.26
192,"Men Are from Mars, Women Are from Venus",John Gray,Family & Relationships,2004.0,3.54
193,Sabriel (adult),Garth Nix,Fiction,2004.0,4.17
194,Slouching Toward Nirvana,Charles Bukowski,Poetry,2006.0,3.99
